Algorithm,Time,Operations,Result,Benchmark_text,Benchmark_pattern
Boyer-Moore-Horspool,9e-06,10.0,8,benchmarks/bad_t_1.txt,benchmarks/bad_w_1.txt
Knuth-Morris-Pratt,6e-06,20.0,8,benchmarks/bad_t_1.txt,benchmarks/bad_w_1.txt
Naive_algorithm,3e-06,18.0,8,benchmarks/bad_t_1.txt,benchmarks/bad_w_1.txt
Boyer-Moore-Horspool,7.7e-05,100.0,90,benchmarks/bad_t_2.txt,benchmarks/bad_w_2.txt
Knuth-Morris-Pratt,5.7e-05,216.0,90,benchmarks/bad_t_2.txt,benchmarks/bad_w_2.txt
Naive_algorithm,2.1e-05,910.0,90,benchmarks/bad_t_2.txt,benchmarks/bad_w_2.txt
Boyer-Moore-Horspool,0.000881,1000.0,900,benchmarks/bad_t_3.txt,benchmarks/bad_w_3.txt
Knuth-Morris-Pratt,0.000618,2196.0,900,benchmarks/bad_t_3.txt,benchmarks/bad_w_3.txt
Naive_algorithm,0.000253,90100.0,900,benchmarks/bad_t_3.txt,benchmarks/bad_w_3.txt
Boyer-Moore-Horspool,0.004348,5000.0,4000,benchmarks/bad_t_4.txt,benchmarks/bad_w_4.txt
Knuth-Morris-Pratt,0.0032,11996.0,4000,benchmarks/bad_t_4.txt,benchmarks/bad_w_4.txt
Naive_algorithm,0.001735,4001000.0,4000,benchmarks/bad_t_4.txt,benchmarks/bad_w_4.txt
Boyer-Moore-Horspool,6.9e-05,80.0,599,benchmarks/good_t_1.txt,benchmarks/good_w_1.txt
Knuth-Morris-Pratt,0.000327,666.0,599,benchmarks/good_t_1.txt,benchmarks/good_w_1.txt
Naive_algorithm,0.000169,10200.0,599,benchmarks/good_t_1.txt,benchmarks/good_w_1.txt
Boyer-Moore-Horspool,7.3e-05,107.0,610,benchmarks/good_t_2.txt,benchmarks/good_w_2.txt
Knuth-Morris-Pratt,0.00037,863.0,610,benchmarks/good_t_2.txt,benchmarks/good_w_2.txt
Naive_algorithm,0.00018,51935.0,610,benchmarks/good_t_2.txt,benchmarks/good_w_2.txt
Boyer-Moore-Horspool,0.000272,434.0,1629,benchmarks/good_t_3.txt,benchmarks/good_w_3.txt
Knuth-Morris-Pratt,0.001152,2847.0,1629,benchmarks/good_t_3.txt,benchmarks/good_w_3.txt
Naive_algorithm,0.000672,621030.0,1629,benchmarks/good_t_3.txt,benchmarks/good_w_3.txt
Boyer-Moore-Horspool,0.000527,510.0,9522,benchmarks/good_t_4.txt,benchmarks/good_w_4.txt
Knuth-Morris-Pratt,0.004997,9796.0,9522,benchmarks/good_t_4.txt,benchmarks/good_w_4.txt
Naive_algorithm,0.002859,876116.0,9522,benchmarks/good_t_4.txt,benchmarks/good_w_4.txt
