Algorithm,Time,Operations,Result,Benchmark_text,Benchmark_pattern
Boyer-Moore-Horspool,1.5e-05,876126.0,8,benchmarks/bad_t_1.txt,benchmarks/bad_w_1.txt
Knuth-Morris-Pratt,1.3e-05,530.0,8,benchmarks/bad_t_1.txt,benchmarks/bad_w_1.txt
Naive_algorithm,3e-06,18.0,8,benchmarks/bad_t_1.txt,benchmarks/bad_w_1.txt
Boyer-Moore-Horspool,8.2e-05,110.0,90,benchmarks/bad_t_2.txt,benchmarks/bad_w_2.txt
Knuth-Morris-Pratt,6.4e-05,234.0,90,benchmarks/bad_t_2.txt,benchmarks/bad_w_2.txt
Naive_algorithm,2.2e-05,928.0,90,benchmarks/bad_t_2.txt,benchmarks/bad_w_2.txt
Boyer-Moore-Horspool,0.000928,1100.0,900,benchmarks/bad_t_3.txt,benchmarks/bad_w_3.txt
Knuth-Morris-Pratt,0.000634,2386.0,900,benchmarks/bad_t_3.txt,benchmarks/bad_w_3.txt
Naive_algorithm,0.000255,91010.0,900,benchmarks/bad_t_3.txt,benchmarks/bad_w_3.txt
Boyer-Moore-Horspool,0.004366,6000.0,4000,benchmarks/bad_t_4.txt,benchmarks/bad_w_4.txt
Knuth-Morris-Pratt,0.003168,13896.0,4000,benchmarks/bad_t_4.txt,benchmarks/bad_w_4.txt
Naive_algorithm,0.00175,4091100.0,4000,benchmarks/bad_t_4.txt,benchmarks/bad_w_4.txt
Boyer-Moore-Horspool,7.7e-05,5080.0,599,benchmarks/good_t_1.txt,benchmarks/good_w_1.txt
Knuth-Morris-Pratt,0.000337,9666.0,599,benchmarks/good_t_1.txt,benchmarks/good_w_1.txt
Naive_algorithm,0.000167,4011200.0,599,benchmarks/good_t_1.txt,benchmarks/good_w_1.txt
Boyer-Moore-Horspool,8.2e-05,187.0,610,benchmarks/good_t_2.txt,benchmarks/good_w_2.txt
Knuth-Morris-Pratt,0.000371,1496.0,610,benchmarks/good_t_2.txt,benchmarks/good_w_2.txt
Naive_algorithm,0.000179,62135.0,610,benchmarks/good_t_2.txt,benchmarks/good_w_2.txt
Boyer-Moore-Horspool,0.000276,541.0,1629,benchmarks/good_t_3.txt,benchmarks/good_w_3.txt
Knuth-Morris-Pratt,0.001171,3542.0,1629,benchmarks/good_t_3.txt,benchmarks/good_w_3.txt
Naive_algorithm,0.000697,672965.0,1629,benchmarks/good_t_3.txt,benchmarks/good_w_3.txt
Boyer-Moore-Horspool,0.000525,944.0,9522,benchmarks/good_t_4.txt,benchmarks/good_w_4.txt
Knuth-Morris-Pratt,0.005054,11870.0,9522,benchmarks/good_t_4.txt,benchmarks/good_w_4.txt
Naive_algorithm,0.00279,1497146.0,9522,benchmarks/good_t_4.txt,benchmarks/good_w_4.txt
